Index,Score,Rolling avg score
791,38.250,36.212
792,39.510,36.212
793,37.400,36.202
794,36.610,36.176
795,38.770,36.257
796,37.610,36.245
797,28.000,36.160
798,37.560,36.209
799,36.600,36.185
800,34.100,36.181
801,38.870,36.184
802,37.430,36.178
803,28.020,36.074
804,24.920,35.928
805,39.620,35.943
806,38.850,35.979
807,39.470,35.988
808,39.300,36.007
809,35.220,35.963
810,39.270,36.039
811,38.070,36.042
812,37.550,36.073
813,39.240,36.105
814,37.260,36.090
815,37.400,36.087
816,34.980,36.044
817,39.360,36.042
818,39.230,36.084
819,39.220,36.152
820,29.400,36.170
821,39.140,36.179
822,39.120,36.212
823,38.730,36.230
824,39.320,36.229
825,36.590,36.246
826,39.290,36.260
827,39.000,36.260
828,39.140,36.256
829,39.210,36.288
830,39.120,36.333
